"url","article_text"
"https://www.thedailystar.net/news/politics/2025/05/elections-urgency","BNP leaders demand urgent national elections to restore democracy in Bangladesh. Amir Khosru Mahmud Chowdhury emphasized that polls cannot be delayed further. The interim government faces pressure to announce a timeline."
"https://www.thedailystar.net/news/economy/2025/05/poverty-rise","World Bank reports 5 lakh Bangladeshis fell into extreme poverty due to inflation. Economic policies need reform to address eroding purchasing power and rising costs."
"https://www.thedailystar.net/news/social/2025/05/rohingya-crisis","Rohingya refugees continue to flee Myanmar violence. UN World Food Programme calls for urgent aid to support displaced communities in Cox’s Bazar."
"https://www.thedailystar.net/news/crime/2025/05/court-ruling","Netrokona court sentences stalker to death for killing a schoolgirl in Barhatta. The verdict aims to deter violent crimes against women."
"https://www.thedailystar.net/news/business/2025/05/mobile-finance","Mobile financial services grow as a tool for social safety nets. Student stipends and remittances are now distributed via MFS, boosting financial inclusion."
"https://www.thedailystar.net/news/politics/2025/05/policy-transparency","Debapriya Bhattacharya questions interim government’s economic policy transparency. He urges open dialogue on reform measures to build trust."
"https://www.thedailystar.net/news/sports/2025/05/chelsea-match","Chelsea’s Enzo Maresca eyes history in Conference League final against Real Betis. Bangladesh fans eagerly follow European football updates."
"https://www.thedailystar.net/news/environment/2025/05/river-embankment","Residents of Mymensingh’s Dhobaura demand a permanent embankment along Netai river to prevent monsoon flooding."
"https://www.thedailystar.net/news/international/2025/05/israel-offensive","Israeli offensive displaces 180,000 people in 10 days, says International Organization for Migration. Bangladesh condemns the violence."
"https://www.thedailystar.net/news/business/2025/05/air-astra","Astra Airways honors top business partners at the 2025 Business Partners Award in Dhaka. The event highlights growth in Bangladesh’s aviation sector."
